,close
0,61.66
1,61.5
2,61.99
3,62.63
4,61.46
5,62.73
6,61.81
7,62.06
8,64.14
9,65.3
10,65.49
11,65.33
12,65.45
13,63.2
14,60.87
15,60.96
16,64.55
17,63.31
18,63.0
19,63.62
20,64.03
21,62.89
22,64.13
23,64.1
24,63.93
25,64.5
26,65.14
27,66.03
28,65.74
29,65.97
30,62.01
31,62.4
32,61.96
33,58.6
34,59.55
35,60.75
36,61.57
37,62.43
38,63.17
39,64.4
40,64.6
41,65.03
42,66.73
43,66.01
44,64.9
45,64.38
46,65.08
47,64.51
48,63.45
49,63.34
50,63.4
51,63.32
52,64.31
53,65.31
54,64.66
55,66.37
56,66.63
57,66.19
58,66.83
59,69.24
60,70.36
61,68.7
62,70.36
63,69.8
64,70.57
65,71.3
66,71.55
67,70.08
68,70.82
69,72.52
70,72.45
71,71.61
72,74.13
73,73.35
74,71.42
75,67.98
76,69.7
77,69.46
78,65.83
79,67.08
80,68.32
81,68.07
82,69.65
83,71.99
84,70.19
85,70.84
86,70.22
87,69.49
88,72.07
89,73.16
90,72.61
91,73.13
92,72.01
93,74.01
94,75.1
95,73.92
96,74.07
97,76.81
98,78.22
99,76.86
100,75.93
101,74.22
102,73.38
103,71.68
104,71.05
105,71.37
106,71.61
107,69.76
108,68.04
109,70.08
110,66.29
111,65.97
112,67.46
113,65.09
114,65.48
115,66.27
116,66.53
117,64.56
118,65.77
119,66.52
120,65.85
121,67.22
122,65.88
123,66.56
124,68.28
125,68.69
126,67.68
127,66.3
128,66.23
129,65.34
130,64.82
131,66.34
132,65.79
133,66.35
134,67.8
135,68.39
136,66.82
137,69.84
138,70.37
139,69.61
140,71.31
141,72.9
142,71.7
143,71.7
144,70.17
145,70.33
146,71.66
147,71.99
148,71.45
149,71.35
150,71.74
151,70.8
152,71.46
153,70.64
154,70.69
155,70.91
156,73.03
157,72.79
158,72.77
159,74.79
160,73.95
161,74.29
162,75.0
163,75.94
164,76.67
165,77.72
166,77.41
167,77.87
168,77.24
169,76.84
170,76.05
171,75.98
172,74.7
173,75.27
174,73.42
175,76.01
176,76.32
177,77.28
178,75.88
179,76.19
180,77.19
181,76.84
182,76.19
183,78.61
184,81.42
185,81.5
186,80.23
187,80.95
188,81.27
189,80.61
190,79.65
