,close
0,12.27
1,12.19
2,12.23
3,12.1
4,12.04
5,12.19
6,12.04
7,12.27
8,12.06
9,12.1
10,12.27
11,12.35
12,12.42
13,12.36
14,12.33
15,12.16
16,12.06
17,12.04
18,12.01
19,12.16
20,12.02
21,12.0
22,12.04
23,12.01
24,12.13
25,12.12
26,12.07
27,12.1
28,12.11
29,12.21
30,12.56
31,12.52
32,12.58
33,12.63
34,12.43
35,12.38
36,12.53
37,12.61
38,12.58
39,12.6
40,12.63
41,12.46
42,12.58
43,12.66
44,12.69
45,12.72
46,12.63
47,12.58
48,12.6
49,12.5
50,12.58
51,12.49
52,12.66
53,12.76
54,12.98
55,13.2
56,13.15
57,13.08
58,13.03
59,13.16
60,13.23
61,13.1
62,12.18
63,12.07
64,12.0
65,12.02
66,11.96
67,12.05
68,11.57
69,11.65
70,11.12
71,11.06
72,10.97
73,10.92
74,10.71
75,10.24
76,10.76
77,10.76
78,10.43
79,10.53
80,10.7
81,10.59
82,10.74
83,10.76
84,10.61
85,10.63
86,10.6
87,10.63
88,10.7
89,10.89
90,10.61
91,10.61
92,10.29
93,10.4
94,10.58
95,10.63
96,10.63
97,10.61
98,10.73
99,10.81
100,10.78
101,11.02
102,11.07
103,11.15
104,11.01
105,10.99
106,11.1
107,10.75
108,10.56
109,10.83
110,10.83
111,10.86
112,11.08
113,10.86
114,11.15
115,11.33
116,11.35
117,11.18
118,11.25
119,11.45
120,11.43
121,11.31
122,11.28
123,11.38
124,11.38
125,11.33
126,10.96
127,10.82
128,11.04
129,10.96
130,11.11
131,11.43
132,11.49
133,11.24
134,11.26
135,11.21
136,11.2
137,11.36
138,11.34
139,11.27
140,11.06
141,11.21
142,11.19
143,11.18
144,11.22
145,11.4
146,11.46
147,11.33
148,11.51
149,11.52
150,11.44
151,11.62
152,11.51
153,11.44
154,11.55
155,11.55
156,11.71
157,11.74
158,11.83
159,11.97
160,12.03
161,12.1
162,12.03
163,12.11
164,12.02
165,11.89
166,11.88
167,11.99
168,11.89
169,11.87
170,11.71
171,11.65
172,11.5
173,11.52
174,11.42
175,11.28
176,11.07
177,11.1
178,10.99
179,11.05
180,11.06
181,11.2
182,11.25
183,11.07
184,11.05
185,10.98
186,10.85
187,10.86
188,10.87
189,10.82
190,10.56
191,10.47
192,10.57
193,10.52
194,9.89
195,9.93
196,10.07
197,10.04
198,9.9
199,9.92
200,10.04
201,10.03
202,10.08
203,10.05
204,9.91
205,9.74
206,9.46
207,9.5
208,9.45
209,9.51
210,9.55
211,9.72
212,9.86
213,9.69
214,9.63
215,9.68
216,9.99
217,10.01
218,9.97
219,9.7
220,9.48
221,9.47
222,9.49
223,9.43
224,9.27
225,9.38
226,9.31
227,9.34
228,9.37
229,9.45
230,9.55
231,9.58
232,9.78
233,9.81
234,9.85
235,9.59
236,9.39
237,9.27
238,9.23
239,9.25
240,9.32
241,9.2
242,9.13
243,9.15
244,9.12
245,9.26
246,8.95
247,8.82
248,8.81
249,8.64
250,8.81
251,8.8
252,8.76
253,8.51
254,8.5
255,8.41
256,8.59
257,8.18
258,8.99
259,8.98
260,9.28
261,9.46
262,9.55
263,9.29
264,9.38
265,9.53
266,9.54
267,9.6
268,9.46
269,9.38
270,9.49
271,9.54
272,9.54
273,9.31
274,9.05
275,9.25
276,9.06
277,9.11
278,9.13
279,9.4
280,9.28
281,9.41
282,9.37
283,9.41
284,9.6
285,9.18
286,9.02
287,8.82
288,8.52
289,8.54
290,8.64
291,8.5
292,8.52
293,8.5
294,8.47
295,8.32
296,8.26
297,8.05
298,7.63
299,7.85
300,7.85
301,7.81
302,7.65
303,7.9
304,7.78
305,8.08
306,8.29
307,8.37
308,8.72
309,8.67
310,8.82
311,8.99
312,8.84
313,8.29
314,8.36
315,8.58
316,8.5
317,8.34
318,8.6
319,8.86
320,8.66
321,8.76
322,8.71
323,8.8
324,8.72
325,8.7
326,8.75
327,8.72
328,8.31
329,8.39
330,8.33
331,8.46
332,8.41
333,8.42
334,8.54
335,8.83
336,8.94
337,8.71
338,8.71
339,8.76
340,8.88
341,8.78
342,8.77
343,8.79
344,8.81
345,8.77
346,8.58
347,8.48
348,8.42
349,8.61
350,8.57
351,8.53
352,8.41
353,8.43
354,8.57
355,8.7
356,8.51
357,8.69
358,8.54
359,8.51
360,8.76
361,8.62
362,8.77
363,8.78
364,8.98
365,9.01
366,9.13
367,9.24
368,9.25
369,9.3
370,9.21
371,9.33
372,9.39
373,9.45
374,9.33
375,9.36
376,9.5
377,9.55
378,9.5
379,9.5
380,9.57
381,9.4
382,10.41
383,10.32
384,10.45
385,10.3
386,10.34
387,10.41
388,10.37
389,10.38
390,10.34
391,10.2
392,10.38
393,10.08
394,10.24
395,10.36
396,10.4
397,10.29
398,10.28
399,10.24
400,9.97
401,9.85
402,9.83
403,9.78
404,9.71
405,9.74
406,9.52
407,9.61
408,9.92
409,9.78
410,9.75
411,9.76
412,9.82
413,9.92
414,9.85
415,10.06
416,9.98
417,10.05
418,10.1
419,10.04
420,10.04
421,9.99
422,9.95
423,9.84
424,9.91
425,10.2
426,10.23
427,10.15
428,10.12
429,10.2
430,10.2
431,10.2
432,10.14
433,10.11
434,10.19
435,10.49
436,10.42
437,10.51
438,10.33
439,10.26
440,10.2
441,10.02
442,10.17
443,10.33
444,9.56
445,9.57
446,9.6
447,9.55
448,9.53
449,9.31
450,9.28
451,9.23
452,9.48
453,9.53
454,9.56
455,9.45
456,9.28
457,9.26
458,9.0
459,8.86
460,8.96
461,9.03
462,8.96
463,9.04
464,9.04
465,8.77
466,8.82
467,8.76
468,9.0
469,9.12
470,9.17
471,9.1
472,9.2
473,9.34
474,9.34
475,9.54
476,9.42
477,9.42
478,9.41
479,9.45
480,9.3
481,9.28
482,9.25
483,9.1
484,9.17
485,9.16
486,9.11
487,9.2
488,9.14
489,9.08
490,9.16
491,8.9
492,8.61
493,8.71
494,8.74
495,8.68
496,8.54
497,8.56
498,8.62
499,8.78
500,8.82
501,9.07
502,9.07
503,9.11
504,9.29
505,9.03
506,9.07
507,9.21
508,8.6
509,8.72
510,8.61
511,8.64
512,8.54
513,8.59
514,8.89
515,9.0
516,9.02
517,8.92
518,8.89
519,9.04
520,9.08
521,9.04
522,8.81
523,8.79
524,8.95
525,8.95
526,8.9
527,8.73
528,8.71
529,8.89
530,9.0
531,9.01
532,9.1
533,9.06
534,9.01
535,8.89
536,8.95
537,8.93
538,9.02
539,9.01
540,9.07
541,9.11
542,9.32
543,9.23
544,9.39
545,9.39
546,9.54
547,9.41
548,9.48
549,9.44
550,9.47
551,9.45
552,9.36
553,9.25
554,9.3
555,9.42
556,9.21
557,9.16
