,close
0,322.31
1,334.065
2,335.49
3,334.77
4,333.3
5,346.17
6,352.05
7,357.42
8,350.99
9,343.06
10,330.93
11,335.12
12,333.35
13,328.2
14,332.3
15,329.1
16,327.17
17,345.51
18,341.84
19,326.63
20,325.6
21,321.35
22,313.56
23,310.55
24,316.53
25,309.1
26,301.54
27,304.18
28,279.18
29,257.78
30,266.13
31,252.48
32,267.53
33,286.94
34,305.72
35,299.3
36,289.63
37,304.7
38,300.93
39,294.08
40,300.34
41,291.21
42,287.69
43,293.35
44,300.08
45,290.24
46,283.37
47,283.46
48,280.69
49,285.48
50,294.075
51,293.9
52,299.92
53,301.15
54,284.45
55,294.09
56,302.77
57,301.97
58,306.85
59,305.02
60,301.06
61,291.97
62,284.18
63,286.48
64,284.54
65,276.82
66,284.49
67,275.01
68,279.07
69,277.85
70,278.85
71,283.76
72,291.72
73,284.73
74,291.82
75,296.74
76,291.13
77,319.5
78,316.09
79,317.66
80,332.1
81,342.77
82,344.78
83,357.72
84,358.17
85,370.83
86,352.55
87,362.22
88,347.51
89,333.63
90,333.01
91,342.0
92,344.525
93,349.93
94,342.95
95,335.07
96,310.86
97,309.16
98,308.9
99,318.51
100,322.47
101,318.96
102,316.71
103,318.87
104,310.1
105,322.69
106,323.85
107,320.23
108,313.58
109,303.2
110,297.43
111,308.74
112,306.65
113,297.18
114,290.17
115,298.14
116,300.84
117,349.54
118,348.17
119,341.99
120,379.57
121,370.34
122,352.45
123,355.53
124,356.41
125,347.64
126,338.69
127,335.45
128,305.5
129,308.44
130,321.9
131,321.64
132,320.1
133,322.82
134,319.27
135,311.86
136,305.01
137,303.15
138,301.66
139,288.95
140,280.74
141,280.95
142,263.24
143,285.5
144,279.44
145,290.54
146,289.46
147,295.2
148,294.84
149,284.96
150,299.02
151,298.33
152,299.1
153,299.68
154,300.99
155,309.58
156,307.52
157,264.77
158,310.7
159,301.02
160,294.8
161,281.83
162,261.95
163,250.56
164,262.8
165,256.88
166,252.23
167,258.78
168,259.59
169,276.59
170,271.78
171,263.91
172,260.0
173,260.95
174,294.14
175,288.5
176,314.86
177,330.9
178,334.85
179,329.9
180,337.32
181,344.28
182,346.41
183,341.4
184,341.06
185,348.16
186,351.4
187,350.51
188,331.28
189,338.73
190,344.0
191,348.44
192,354.31
193,353.47
194,347.49
195,338.19
196,325.83
197,346.0
198,343.92
199,347.87
200,341.17
201,350.48
202,358.49
203,359.7
204,363.06
205,357.965
206,365.15
207,366.76
208,366.6
209,376.79
210,365.71
211,348.42
212,337.03
213,332.97
214,315.38
215,319.77
216,295.39
217,326.09
218,316.13
219,333.87
220,332.8
221,310.12
222,300.36
223,317.69
224,334.96
225,335.35
226,338.53
227,344.97
228,347.26
229,334.4
230,344.43
231,346.05
232,347.31
233,302.26
234,298.92
235,287.59
236,291.51
237,297.04
238,296.38
239,297.46
240,308.77
241,307.02
242,312.21
243,312.89
244,321.35
245,317.22
246,307.51
247,305.8
248,312.84
249,311.81
250,308.17
251,303.77
252,307.88
253,305.64
254,302.56
255,291.23
256,294.71
257,298.77
258,297.86
259,314.74
260,319.88
261,294.79
262,285.36
263,276.54
264,276.24
265,276.59
266,284.14
267,290.92
268,283.36
269,288.96
270,289.96
271,275.43
272,269.49
273,267.47
274,273.6
275,274.02
276,264.53
277,260.42
278,267.77
279,274.83
280,278.62
281,279.86
282,289.18
283,285.88
284,291.81
285,267.78
286,274.96
287,273.2
288,272.3
289,276.06
290,268.42
291,267.7
292,266.38
293,273.36
294,271.23
295,273.26
296,262.75
297,263.9
